Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Comoros,25.99393643,23.99879065,23.6274201,19.98996205,18.10724748,14.16521064,10.47849836,16.18348665,17.86585463,20.50667574,23.52838431,27.05233634,30.0729825,33.08608653,18.27064936,33.01074839
"Congo, Dem. Rep.",0.44,0.32,0.54872237,0.47,0.6155052,0.46,0.51373724,0.57850149,2.65516209,3.10547494,4.85524957,5.55179318,6.92035131,11.19401065,14.01832339,11.58575564
"Congo, Rep.",48.32362476,45.77931056,45.72076233,57.47294581,45.26926518,33.70247396,38.09331128,38.15919513,38.79457889,42.50219398,48.38753323,53.75501702,55.13227358,46.96751872,51.51053309,48.37981884
Cook Is,248.57021055,228.37242825,190.23334785,203.91098979,176.94546538,218.11884173,318.704824,255.73238689,286.65900934,283.99144244,345.51554846,317.96990815,336.7486407,343.78148796,358.41285817,390.53443334
Costa Rica,292.68829458,297.97992126,286.37206759,315.19791139,334.88385241,361.62391195,392.09114885,428.25130928,459.74245567,471.59425319,493.41555436,549.43830647,652.07341484,708.94004545,778.3848815,845.49564618
Cote d'Ivoire,16.26788619,19.97686879,23.10384905,22.22124673,21.33097533,21.32789085,15.42894123,16.44315928,15.32793293,17.3382854,14.20902767,15.29137782,22.52147368,24.8925753,19.76752325,21.06818627
Croatia,472.79891456,560.22505347,475.88982051,585.78958415,639.12185494,729.53857361,702.79793628,631.22316651,713.91782703,778.29352963,922.2208315,1017.70050701,1226.59007345,1341.70781883,1320.30719592,1284.54396991
Cuba,105.54799134,114.05806705,116.28795659,114.60025445,123.12181723,133.54586385,143.59672444,151.21958329,152.69247528,155.13767354,229.19799876,256.64422498,378.81382458,410.60701259,442.7692219,394.46112718
Cyprus,259.40577575,277.97694157,313.93095797,397.88928454,426.8646759,461.02913247,508.74051659,584.13254582,664.3551203,646.38037707,647.60923493,700.72528197,732.60506901,775.15502009,778.21551277,764.40450089
Czech Republic,814.95758356,829.8907473,831.67139331,836.73270037,849.15457314,886.39284661,970.58320509,1081.02487065,1201.91238161,1236.35236214,1287.57442206,1349.93500147,1414.84955471,1517.62471061,1769.17209869,1716.1594137
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,1541.1795446,1627.53768088,1693.76081341,1749.8968982,2024.01633445,2102.6411041,2255.07291742,2425.1522125,2446.34188369,2633.46970497,2739.74089485,3026.01006636,3175.34274183,3423.95685265,3695.36213896,3861.31950388
Djibouti,41.22837047,37.73704772,43.89844097,54.2442579,68.74039301,61.24469335,55.80518216,57.44843675,70.51779727,61.313515,90.71977861,91.92768987,110.78283764,107.46248278,124.47847651,110.99359888
Dominica,213.79182111,226.98183106,244.47259427,249.00276671,255.5190419,260.72533819,262.31845937,267.79298662,271.45261758,274.6445487,281.19825097,323.06517848,344.0178881,354.48375763,385.96179837,508.88723795
Dominican Republic,42.22079946,48.50987062,63.11817349,81.45965361,96.59882931,112.41906077,101.23666871,113.89819422,109.91298267,87.69230067,110.41963918,147.76854503,152.74516976,177.67179264,209.7330725,250.39102783
East Germany,,,,,,,,,,,,,,,,
Ecuador,104.7405669,121.71446822,115.45375499,83.82410932,87.44572457,62.93265431,81.93888005,99.50938263,81.09330267,92.40680767,95.86968157,112.59711957,123.10599383,146.28114873,241.2618334,243.0753988
Egypt,50.46576139,52.26897743,57.76005805,65.18759025,73.41930334,79.18307814,87.80542682,94.77338659,93.25703249,93.81744128,95.79208019,113.43277224,106.85142362,114.80955658,112.95206097,107.94001086
El Salvador,92.34294858,119.66669926,127.47986527,148.75848094,153.10606986,166.02015871,169.25219224,176.59690956,177.61620981,191.15313716,214.02634753,249.99300232,239.52784012,242.4198942,264.56659883,277.81554123
Equatorial Guinea,64.44861811,59.82539979,82.42983862,122.55487101,72.16707618,68.63366925,147.4689495,427.49251186,262.6091998,274.54160203,247.69506875,303.59790562,407.13501188,506.15889856,1185.76480005,1173.12287484
Eritrea,12.3550707,8.51204626,11.91882637,12.51047787,13.25911385,14.25448299,16.31552058,13.23839384,10.10000651,8.60191119,8.76776665,8.65564801,8.86815053,10.27442489,7.56586109,7.72090757
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
Estonia,355.82874211,400.32821774,438.84960583,403.73509036,415.37615843,403.98863351,408.41665916,447.19878918,514.08648116,572.63218387,636.83669774,703.24198735,841.87533787,1035.97147,1048.63405194,964.80113354
Ethiopia,4.65922305,4.91636287,5.65810345,6.7499462,8.02886982,10.76278774,13.63290913,12.91492885,14.06118228,13.95926585,15.92821278,16.45223875,21.64922429,19.78143516,22.54365727,27.10718295
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
